"財團法人彭婉如文教基金會附設高雄市私立平等非營利幼兒園(高雄市政府委託辦理)
圖書",,,,,,
項次,編碼,類別,書名,出版社,數量,備註
334,平圖贈00331,語文,認知小書 好吃食物,小馬哥,1,黃
335,平圖贈00332,語文,認知小書 家電用品,小馬哥,1,黃
336,平圖贈00333,語文,認知小書 海洋世界,小馬哥,1,黃
337,平圖贈00334,語文,認知小書 日常用品,小馬哥,1,黃
338,平圖贈00335,語文,認知小書 鳥類,小馬哥,1,黃
339,平圖贈00336,語文,認知小書 昆蟲,小馬哥,1,黃
340,平圖贈00337,語文,認知小書 我會比一比,小馬哥,1,黃
341,平圖贈00338,語文,認知小書 可愛動物,小馬哥,1,黃
342,平圖贈00339,語文,認知小書 交通工具,小馬哥,1,黃
343,平圖贈00340,語文,魔力瑄瑄,財團法人羅慧夫顱顏基金會,1,藍
344,平圖贈00341,語文,我的名字叫小胖,財團法人羅慧夫顱顏基金會,1,藍
345,平圖贈00342,語文,小桃子 貼貼臉,小天下,1,藍
346,平圖贈00343,語文,好想睡覺的小兔子,如何,1,黃
347,平圖贈00344,語文,越南土地公在台灣,社團法人屏東縣好好婦女權益發展協會,1,黃
348,平圖贈00345,語文,東南亞的節慶,社團法人屏東縣好好婦女權益發展協會,1,黃
349,平圖贈00346,繪本,小水滴旅行,人類文化,1,藍
350,平圖贈00347,繪本,小雞穿鞋子,人類文化,1,藍
351,平圖贈00348,繪本,喔！我知道了,人類文化,1,藍
352,平圖贈00349,繪本,我要買泥沙,人類文化,1,藍
353,平圖贈00350,繪本,風娃娃在哪裡,人類文化,1,藍
354,平圖贈00351,繪本,彩色的雲,人類文化,1,藍
355,平圖贈00352,繪本,大雨嘩啦啦,人類文化,1,藍
356,平圖贈00353,繪本,再見！松鼠牙醫,人類文化,1,藍
357,平圖贈00354,繪本,球球和黏身草,九童國際文化,1,藍
358,平圖贈00355,繪本,下雨天的球球,九童國際文化,1,藍
359,平圖贈00356,繪本,球球和挖土機,九童國際文化,1,藍
360,平圖贈00357,繪本,國王登月記·月亮升起時,,,
361,平圖贈00358,繪本,動物天地,,,
362,平圖贈00359,繪本,甲蟲先生漫遊記·留神阿，小瓢蟲!,,,
363,平圖贈00360,繪本,樹的一年·奇巧最喜歡的樹,,,
364,平圖贈00361,繪本,恐龍進城·小豆豆想長大,,,
365,平圖贈00362,繪本,貓頭鷹愛月亮·我能飛了!,,,
366,平圖贈00363,繪本,雨來了·雪孩子們來拜訪,,,
367,平圖贈00364,繪本,你好，我是雪人·帽子先生,,,
368,平圖贈00365,繪本,阿茂的神奇解藥·神奇魚,,,
369,平圖贈00366,繪本,淘氣豬小胖嘟·老婆婆與蜜熊,,,
370,平圖贈00367,繪本,老是睏和老是餓·森林孩子找朋友,,,
371,平圖贈00368,繪本,顏色變變變·彩虹國,,,
372,平圖贈00369,繪本,火龍與男孩·翠鳥和魔魚,,,
373,平圖贈00370,繪本,說謊的山羊·紅狐和牧羊人,,,
374,平圖贈00371,繪本,樹林裡有一個巨人·大象賓保逃家記,,,
375,平圖贈00372,繪本,了不起的普蘭·小老鼠歷險記,,,
376,平圖贈00373,繪本,小雨點的旅行·飛走了小雲朵,,,
377,平圖贈00374,繪本,小小蟲歷險記·小老虎找勇氣,,,
378,平圖贈00375,繪本,共享親密賞書時(親子閱讀手冊),,,
379,平圖贈00376,繪本,老伯伯的手套·稻草人的願望,,,
380,平圖贈00377,繪本,我的身體你的身體,,,
381,平圖贈00378,繪本,再上去是什麼？,,,
382,平圖贈00379,繪本,男生女生配一對,,,
383,平圖贈00380,繪本,藍鯨是世界是最大的的東西嗎？,,,
384,平圖贈00381,繪本,時間滴答,,,
385,平圖贈00382,繪本,淅瀝!嘩啦!啪啦!,,,
386,平圖贈00383,繪本,如果世界上沒有鯨魚：,,,
387,平圖贈00384,繪本,床底下是什麼？,,,
388,平圖贈00385,繪本,聽!什麼聲音？,,,
389,平圖贈00386,繪本,哈啾~看醫生囉!,,,
390,平圖贈00387,繪本,麵團大王,,,
391,平圖贈00388,繪本,我的朋友嘎歷,,,
392,平圖贈00389,繪本,最特別的同學,,,
393,平圖贈00390,繪本,寵物A咖,,,
394,平圖贈00391,繪本,兩個人的金牌,,,
395,平圖贈00392,繪本,沒有不一樣,,,
396,平圖贈00393,繪本,袋子裡的狼,,,
397,平圖贈00394,繪本,跟著阿蠟筆學集合,,,
398,平圖贈00395,繪本,路克船長的藏寶圖,,,
399,平圖贈00396,繪本,玩具國的蔬果炮彈,,,
400,平圖贈00397,繪本,1隻小豬與100匹狼,,,
401,平圖贈00398,繪本,我的小雞雞,,,
402,平圖贈00399,繪本,狐狸與白鶴,,,
403,平圖贈00400,繪本,一隻孤獨的野狼,,,
404,平圖贈00401,繪本,一隻勤勞的河狸,,,
405,平圖贈00402,繪本,一隻外來的鬣蜥,,,
406,平圖贈00403,繪本,一隻愛唱歌的青蛙,,,
407,平圖贈00404,繪本,一隻勇敢的兔子,,,
408,平圖贈00405,繪本,一隻小器的喜鵲,,,
409,平圖贈00406,繪本,爸爸我要月亮,,,
410,平圖贈00407,繪本,我們的媽媽在哪裡,,,
