"財團法人彭婉如文教基金會附設高雄市私立平等非營利幼兒園(高雄市政府委託辦理)
圖書清冊",,,,,,,,,,
圖書分類代號別：藍色-->繪本(美感)  紅色-->身體健康(飲食、保健) 黃色-->語文類   (生命教育類)             綠色-->自然科學類  粉紅色-->社會(社區類)  紫色-->性別教育    淺藍色-->情緒,,,,,,,,,,
數量,編碼,圖書分類,書名,出版社,單位,數量,備註,分類,,
118,007-4-07-EA-118,社會,如果沒有人喜歡我，我也要喜歡自己,大穎文化,本,1,105.02購入,粉紅色,,
119,007-4-07-EA-119,社會,你不可以欺負我,大穎文化,本,1,105.02購入,粉紅色,,
120,007-4-07-EA-120,自然,風的力量,上人文化,本,1,105.02購入,綠色,,
121,007-4-07-EA-121,社會,環保生活出發,上人文化,本,1,105.02購入,粉紅色,,
122,007-4-07-EA-122,自然,自來水的旅行,上人文化,本,1,105.02購入,綠色,,
123,007-4-07-EA-123,美感,自然野趣DIY,天下文化,本,1,104學年下特教補助,藍色,,
124,007-4-07-EA-124,美感,動手做自然,晨星文化,本,1,104學年下特教補助,藍色,,
125,007-4-07-EA-125,語文,國語辭典,世一,本,3,105.04購入,黃色,,
126,007-4-07-EA-126,自然,草坪雜草圖鑑,貓頭鷹,本,1,105.04購入,綠色,,
127,007-4-07-EA-127,自然,昆蟲圖鑑,遠流,本,1,105.06購入,綠色,,
128,007-4-07-EA-128,繪本,驚喜的禮物,閣林文創,本,1,105.06購入,藍色,,
129,007-4-07-EA-129,繪本,奇妙的一天,閣林文創,本,1,105.06購入,藍色,,
130,007-4-07-EA-130,情緒,爸爸陪陪我,閣林文創,本,1,105.06購入,淺藍色,,
131,007-4-07-EA-131,身體健康,襪子去哪了？,閣林文創,本,1,105.06購入,紅色,,
132,007-4-07-EA-132,情緒,布魯斯的勇敢之旅,閣林文創,本,1,105.06購入,淺藍色,,
133,007-4-07-EA-133,語文,都是我的,閣林文創,本,1,105.06購入,黃色,,
134,007-4-07-EA-134,語文,大家一起坐,閣林文創,本,1,105.06購入,黃色,,
135,007-4-07-EA-135,繪本,是誰受傷了,閣林文創,本,1,105.06購入,藍色,,
136,007-4-07-EA-136,繪本,跳舞吧！大熊,閣林文創,本,1,105.06購入,藍色,,
137,007-4-07-EA-137,社會,1個變7個,閣林文創,本,1,105.06購入,粉紅色,,
138,007-4-07-EA-138,繪本,魚的願望,閣林文創,本,1,105.06購入,藍色,,
139,007-4-07-EA-139,繪本,種花做桌子,閣林文創,本,1,105.06購入,藍色,,
140,007-4-07-EA-140,語文,爺爺的搖椅,閣林文創,本,1,105.06購入,黃色,,
141,007-4-07-EA-141,語文,這是秘密唷！,閣林文創,本,1,105.06購入,黃色,,
142,007-4-07-EA-142,語文,兔子家的蜜糖豬,閣林文創,本,1,105.06購入,黃色,,
143,007-4-07-EA-143,語文,黃氣球,閣林文創,本,1,105.06購入,黃色,,
144,007-4-07-EA-144,自然,好客的大樹,閣林文創,本,1,105.06購入,綠色,,
145,007-4-07-EA-145,自然,忙碌的河流,閣林文創,本,1,105.06購入,綠色,,
146,007-4-07-EA-146,自然,美麗的草地,閣林文創,本,1,105.06購入,綠色,,
147,007-4-07-EA-147,繪本,殼斗村的帽子店,維京,本,1,105.08購入,藍色,,
